Uqno,Psuno_seg,Taz_exp,Stratum,Metro_code,District_code,Pr_code,Geo_type
1631005710000004201,16310057100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005710000004901,16310057100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005710000005601,16310057100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005710000006301,16310057100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631005710000007001,16310057100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631006810000000701,16310068100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631006810000001901,16310068100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631006810000004301,16310068100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631006810000007901,16310068100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631006810000009101,16310068100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631006810000010301,16310068100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631006810000011501,16310068100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008310000001001,16310083100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008310000004601,16310083100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008310000006401,16310083100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008310000008201,16310083100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008310000010001,16310083100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008310000011801,16310083100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008310000013601,16310083100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008310000015401,16310083100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008310000017201,16310083100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008910000003101,16310089100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008910000007101,16310089100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008910000023101,16310089100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631008910000039101,16310089100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631012910000005401,16310129100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631012910000007001,16310129100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631012910000008601,16310129100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631012910000010201,16310129100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631012910000011801,16310129100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631012910000013401,16310129100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631012910000015001,16310129100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013210000001401,16310132100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013210000002901,16310132100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013210000005901,16310132100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013210000008901,16310132100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013210000010401,16310132100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013210000011901,16310132100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013210000013401,16310132100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013510000003801,16310135100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013510000005901,16310135100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013510000010101,16310135100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013510000012201,16310135100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013510000014301,16310135100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013510000016401,16310135100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013510000018501,16310135100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631013510000020601,16310135100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014010000000401,16310140100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014010000004701,16310140100,900400,1102,01,DC01,Western Cape,Urban: Urban area
